id,family,role,null_hypothesis,alternative_hypothesis,primary_outcome,estimator,sample,test_assets,direction_or_equivalence_bounds,multiplicity_family,interpret_if_supported,interpret_if_unsupported,interpret_if_inconclusive,status,evidence_gate,evidence_status,evidence_locator,blocking_ambiguity
R1a,replication_short_rate_innovations,replication,The registered short-rate innovation equations cannot be recovered within declared tolerance after source-compatible inputs exist.,The registered short-rate innovation equations are recovered within declared tolerance after source-compatible inputs exist.,innovation_equation_tolerance_classification,ar1_with_intercept_innovation_audit,baseline_1972_2013,short_rate_series,article_tolerance_or_declared_reconstruction_tolerance,replication_audit,The short-rate factor construction is numerically recovered.,A completed source-compatible attempt fails to recover the innovation equations.,The innovation audit is blocked by missing source-compatible rate inputs.,replication_target,baseline_rate_artifacts,published_target_frozen_exact_source_file_not_named,article_pdf:p.935 AR equations and residual definition; article_pdf:p.936:Table 1 Panel A rows FFR-tilde and TB-tilde; research/rate_definition_evidence.csv:RATE_EV_01..RATE_EV_06,"Provider named without series code, vintage, seasonal-adjustment status, or daily-to-monthly aggregation rule; first AR regression pair not stated; unclear whether the displayed rounded coefficients were used to form the factor"
R1b,replication_first_pass_betas,replication,The registered first-pass betas cannot be recovered within declared tolerance after source-compatible inputs exist.,The registered first-pass betas are recovered within declared tolerance after source-compatible inputs exist.,first_pass_beta_tolerance_classification,ols_time_series_beta_audit,baseline_1972_2013,article_registered_test_assets,declared_beta_tolerance,replication_audit,The first-pass exposure layer is numerically recovered.,A completed source-compatible attempt fails to recover first-pass betas.,The beta audit is blocked by missing portfolio or factor artifacts.,replication_target,baseline_first_pass_artifacts,published_target_frozen_test_asset_source_not_reproducible_from_the_publication,article_pdf:p.932:equation (3); article_pdf:p.939-p.942:Table 4; research/portfolio_definition_evidence.csv:PORT_EV_01..PORT_EV_07,"Decile portfolios are attributed to a person rather than a file; no breakpoints, exchange screens, formation month, rebalancing rule, holding period, or delisting treatment are stated; the first-pass residual covariance estimator and lag rule are not stated"
R1c,replication_risk_prices,replication,The registered cross-sectional risk prices cannot be recovered within declared tolerance after source-compatible inputs exist.,The registered cross-sectional risk prices are recovered within declared tolerance after source-compatible inputs exist.,risk_price_tolerance_classification,no_intercept_ols_cross_section_audit,baseline_1972_2013,article_registered_test_assets,declared_risk_price_tolerance,replication_audit,The cross-sectional risk-price layer is numerically recovered.,A completed source-compatible attempt fails to recover risk prices.,The risk-price audit is blocked by missing first-pass or return artifacts.,replication_target,baseline_second_pass_artifacts,published_target_frozen_estimator_verified_inputs_not_frozen,article_pdf:p.932:equation (4); article_pdf:p.933:Shanken standard errors; article_pdf:p.939-p.942:Table 4,The no-intercept OLS second pass and the Shanken correction are stated explicitly; the target remains blocked only through its portfolio and factor inputs
R1d,replication_pricing_errors_and_fit,replication,The registered pricing errors and fit metrics cannot be recovered within declared tolerance after source-compatible inputs exist.,The registered pricing errors and fit metrics are recovered within declared tolerance after source-compatible inputs exist.,pricing_error_and_fit_tolerance_classification,pricing_error_and_fit_audit,baseline_1972_2013,article_registered_test_assets,article_fit_definition_or_fit_contract_fallback,replication_audit,The pricing-error and fit layer is numerically recovered.,A completed source-compatible attempt fails to recover pricing errors or fit.,The pricing-error and fit audit is blocked by missing second-pass artifacts.,replication_target,baseline_fit_artifacts,published_target_frozen_fit_definition_verified,article_pdf:p.933:equation (5) chi-square; article_pdf:p.933:equation (6) R2_OLS; article_pdf:p.934:equation (7) constrained R2_C,"The article fit metric is verified as a centred cross-sectional variance ratio, so the fit-contract fallback is not used; the chi-square uses a pseudo-inverse whose numerical tolerance is not stated"
R1e,replication_comparator_models,replication,The registered comparator-model results cannot be recovered within declared tolerance after source-compatible inputs exist.,The registered comparator-model results are recovered within declared tolerance after source-compatible inputs exist.,comparator_tolerance_classification,common_intersection_comparator_audit,baseline_1972_2013,article_registered_test_assets,declared_comparator_tolerance,replication_audit,The comparator-model layer is numerically recovered.,A completed source-compatible attempt fails to recover comparator-model results.,The comparator audit is blocked by missing comparator factors or portfolio artifacts.,replication_target,baseline_comparator_artifacts,published_target_frozen_comparator_factor_files_not_named,article_pdf:p.934:equation (8); article_pdf:p.949:Table 6; research/portfolio_definition_evidence.csv:PORT_EV_14..PORT_EV_16,"Comparator factor providers are named without file names or archive vintages; the Stambaugh footnote URL no longer resolves; ME, IA, and ROE are attributed to a person"
R1f,replication_supplementary_robustness,replication,The registered supplementary robustness targets cannot be recovered within declared tolerance after source-compatible inputs exist.,The registered supplementary robustness targets are recovered within declared tolerance after source-compatible inputs exist.,supplement_tolerance_classification,supplement_table_audit,baseline_1972_2013,supplement_registered_test_assets,declared_supplement_tolerance,replication_audit,The supplementary robustness layer is numerically recovered.,A completed source-compatible attempt fails to recover supplementary robustness targets.,The supplement audit is blocked by missing source-compatible inputs or generated artifacts.,replication_target,supplement_artifacts,published_target_frozen_supplement_inputs_partially_named,"supplement_zip:appendix_pdf Sections 1, 2.1, 2.2, 2.3, 2.6; supplement_zip:appendix_pdf:p.20-p.30:Tables A.1-A.14; research/portfolio_definition_evidence.csv:PORT_EV_10..PORT_EV_13",The double-sorted 25-portfolio sets name Kenneth French's website but no file; the additional CFP and IG deciles are attributed to a person; the appendix does not say whether the restricted-sample AR(1) is re-estimated
H1,incremental_pricing,confirmatory,"The short-rate factor does not improve RMSE, MAE, and maximum absolute pricing-error performance relative to the ex ante CAPM comparator by the materiality thresholds.","The short-rate factor improves RMSE, MAE, and maximum absolute pricing-error performance relative to the ex ante CAPM comparator by the materiality thresholds.",incremental_pricing_performance_classification,two_pass_ols_shanken_no_intercept_and_common_intersection_comparators,baseline_1972_2013,article_joint_anomaly_deciles,RMSE at least 10 percent lower; MAE at least 10 percent lower; maximum absolute pricing error at least 0.25 monthly percentage points lower than CAPM; strongest-observed registered comparator reported only as secondary adversarial analysis,baseline_pricing,The short-rate factor has economically meaningful incremental pricing content against the ex ante primary comparator in the baseline sample.,The baseline does not support an economically meaningful incremental pricing claim.,"The pricing result is blocked, weakly identified, or too imprecise for interpretation.",confirmatory,baseline_result_artifacts,design_frozen_no_publication_dependency,research/economic_thresholds.md; research/comparator_model_registry.csv,none; thresholds are set by this project rather than by the publication
H2,temporal_extension,confirmatory,"Post-publication estimates fail sign compatibility, fitted-premium magnitude compatibility, or pricing-error performance relative to the frozen baseline and comparator models.","Post-publication estimates are sign compatible with the baseline, fitted-premium changes remain within the predeclared bounds, and pricing-error performance does not deteriorate beyond the predeclared bounds.",post_publication_compatibility_classification,frozen_and_refitted_two_pass_ols_shanken,extension_2014_forward,extension_compatible_anomaly_portfolios,rate-attributable fitted-premium changes within 0.25 monthly percentage points; RMSE deterioration no more than 10 percent,temporal_extension,The short-rate pricing relation generalizes beyond the publication sample under the registered standard.,The extension does not support temporal generalization of the baseline pricing relation.,"The extension evidence is blocked, weakly identified, or too imprecise to classify.",confirmatory,post_2013_result_artifacts,design_frozen_no_publication_dependency,research/economic_thresholds.md; configs/extensions.yaml,none; thresholds are set by this project rather than by the publication
H3,regime_stability,confirmatory,At least one stability dimension exceeds its numerical equivalence bound across predeclared regimes.,"Factor construction, portfolio betas, rate-attributable fitted premia, pricing errors, and selected fit remain within their numerical equivalence bounds across predeclared regimes.",regime_stability_classification,pooled_beta_interactions_plus_regime_specific_second_pass_models,baseline_plus_extension_common_sample,source_compatible_anomaly_portfolios,max fitted-premium change within 0.25 monthly percentage points; fitted-premium dispersion change within 25 percent; RMSE deterioration no more than 10 percent; max pricing-error deterioration within 0.25 monthly percentage points; fit deterioration within 0.10 under fit contract,regime_stability,The short-rate pricing relation is economically stable across registered regimes.,The relation is regime dependent under the predeclared equivalence standard.,"The confidence region is too wide or inputs are unavailable, so invariance cannot be claimed.",confirmatory,regime_result_artifacts,design_frozen_no_publication_dependency,research/economic_thresholds.md; research/regime_registry.csv,none; thresholds are set by this project rather than by the publication
H4a,weak_factor_identification_strength,confirmatory,"The short-rate factor fails at least one predeclared cross-sectional identification-strength gate: beta-matrix rank, standardized rate-exposure dispersion, or factor spanning.","The short-rate factor passes the beta-matrix rank gate, the standardized rate-exposure dispersion gate, and the numerical factor-spanning gate.",identification_strength_classification,beta_rank_standardized_exposure_dispersion_and_spanning_regression_diagnostics,baseline_1972_2013,article_joint_anomaly_deciles,"rank(beta) equals the number of priced factors; sd_cs(beta_i_rate * sd(rate innovation)) is at least 0.10 times sd_cs(beta_i_mkt * sd(market factor)); spanning R-squared on the registered comparator factor set is at most 0.90, equivalently a residual standard-deviation ratio of at least 0.3162",weak_factor_diagnostics,"The short-rate column carries enough independent, economically scaled cross-sectional identifying variation for a pricing interpretation.",The short-rate risk price is weakly identified in the cross-section and is not economically interpretable even when fit metrics appear favourable.,The identification diagnostics are unavailable or the required beta or factor artifacts are missing.,confirmatory,weak_factor_diagnostic_artifacts,design_frozen_no_publication_dependency,research/inference_contract.md; research/weak_factor_registry.csv,none; thresholds are set by this project rather than by the publication
