evidence_id,portfolio_family,economic_variable,exact_quotation,quotation_location,table_or_appendix_location,source_named_by_authors,frequency_stated_by_authors,units_stated_by_authors,weighting,number_of_portfolios,transformation,sample,estimator,unresolved_ambiguity
PORT_EV_01,book_to_market,Value-weighted deciles sorted on the book-to-market ratio,"the portfolio return data used in the asset pricing tests represent value-weighted deciles sorted on the book-to-market (BM) ratio; earnings-to-price (EP) ratio; equity duration (DUR); long-term prior returns (REV); investment-to-assets (IA) ratio; changes in property, plant, and equipment (plus changes in inventory) scaled by assets (PIA); and inventory growth (IVG). All the portfolio return data are obtained from Lu Zhang.",article_pdf:p.936-p.937:Section III.B Data,article_pdf:p.937:Table 2; article_pdf:p.939-p.942:Table 4,Lu Zhang,monthly,percent per month,value_weighted,10,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,not applicable,"The article names a person, not a file, a URL, a vintage, or a formation rule. Breakpoints, exchange screens, formation month, rebalancing frequency, holding period, and delisting-return treatment are not stated anywhere in the article or supplement."
PORT_EV_02,earnings_to_price,Value-weighted deciles sorted on the earnings-to-price ratio,"the portfolio return data used in the asset pricing tests represent value-weighted deciles sorted on the book-to-market (BM) ratio; earnings-to-price (EP) ratio; equity duration (DUR); long-term prior returns (REV); investment-to-assets (IA) ratio; changes in property, plant, and equipment (plus changes in inventory) scaled by assets (PIA); and inventory growth (IVG). All the portfolio return data are obtained from Lu Zhang.",article_pdf:p.936-p.937:Section III.B Data,article_pdf:p.937:Table 2; article_pdf:p.939-p.942:Table 4,Lu Zhang,monthly,percent per month,value_weighted,10,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,not applicable,"Same as PORT_EV_01. The article cites Basu (1983) for the anomaly but does not state that the portfolio formation follows any specific cited paper."
PORT_EV_03,equity_duration,Value-weighted deciles sorted on equity duration,"the portfolio return data used in the asset pricing tests represent value-weighted deciles sorted on the book-to-market (BM) ratio; earnings-to-price (EP) ratio; equity duration (DUR); long-term prior returns (REV); investment-to-assets (IA) ratio; changes in property, plant, and equipment (plus changes in inventory) scaled by assets (PIA); and inventory growth (IVG). All the portfolio return data are obtained from Lu Zhang.",article_pdf:p.936-p.937:Section III.B Data,article_pdf:p.937:Table 2; article_pdf:p.939-p.942:Table 4,Lu Zhang,monthly,percent per month,value_weighted,10,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,not applicable,"Same as PORT_EV_01. Equity duration requires a cash-flow forecasting model; the article cites Dechow, Sloan, and Soliman (2004) for the anomaly but does not state which duration formula or parameterisation generated the deciles."
PORT_EV_04,long_term_reversal,Value-weighted deciles sorted on long-term prior returns,"the portfolio return data used in the asset pricing tests represent value-weighted deciles sorted on the book-to-market (BM) ratio; earnings-to-price (EP) ratio; equity duration (DUR); long-term prior returns (REV); investment-to-assets (IA) ratio; changes in property, plant, and equipment (plus changes in inventory) scaled by assets (PIA); and inventory growth (IVG). All the portfolio return data are obtained from Lu Zhang.",article_pdf:p.936-p.937:Section III.B Data,article_pdf:p.937:Table 2; article_pdf:p.939-p.942:Table 4,Lu Zhang,monthly,percent per month,value_weighted,10,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,not applicable,"Same as PORT_EV_01. The ranking window is described in prose as low realized returns over the last 5 years but the skip month, formation month, and holding period are not stated."
PORT_EV_05,investment_to_assets,Value-weighted deciles sorted on the investment-to-assets ratio,"the portfolio return data used in the asset pricing tests represent value-weighted deciles sorted on the book-to-market (BM) ratio; earnings-to-price (EP) ratio; equity duration (DUR); long-term prior returns (REV); investment-to-assets (IA) ratio; changes in property, plant, and equipment (plus changes in inventory) scaled by assets (PIA); and inventory growth (IVG). All the portfolio return data are obtained from Lu Zhang.",article_pdf:p.936-p.937:Section III.B Data,article_pdf:p.937:Table 2; article_pdf:p.939-p.942:Table 4,Lu Zhang,monthly,percent per month,value_weighted,10,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,not applicable,"Same as PORT_EV_01. The article cites Cooper, Gulen, and Schill (2008) and Hou, Xue, and Zhang (2015) for the anomaly but does not state which construction produced the deciles."
PORT_EV_06,ppe_investment,Value-weighted deciles sorted on changes in property plant and equipment plus changes in inventory scaled by assets,"the portfolio return data used in the asset pricing tests represent value-weighted deciles sorted on the book-to-market (BM) ratio; earnings-to-price (EP) ratio; equity duration (DUR); long-term prior returns (REV); investment-to-assets (IA) ratio; changes in property, plant, and equipment (plus changes in inventory) scaled by assets (PIA); and inventory growth (IVG). All the portfolio return data are obtained from Lu Zhang.",article_pdf:p.936-p.937:Section III.B Data,article_pdf:p.937:Table 2; article_pdf:p.939-p.942:Table 4,Lu Zhang,monthly,percent per month,value_weighted,10,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,not applicable,"Same as PORT_EV_01. The article cites Lyandres, Sun, and Zhang (2008) for the anomaly but does not state the scaling denominator vintage or the accounting lag."
PORT_EV_07,inventory_growth,Value-weighted deciles sorted on inventory growth,"the portfolio return data used in the asset pricing tests represent value-weighted deciles sorted on the book-to-market (BM) ratio; earnings-to-price (EP) ratio; equity duration (DUR); long-term prior returns (REV); investment-to-assets (IA) ratio; changes in property, plant, and equipment (plus changes in inventory) scaled by assets (PIA); and inventory growth (IVG). All the portfolio return data are obtained from Lu Zhang.",article_pdf:p.936-p.937:Section III.B Data,article_pdf:p.937:Table 2; article_pdf:p.939-p.942:Table 4,Lu Zhang,monthly,percent per month,value_weighted,10,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,not applicable,"Same as PORT_EV_01. The article cites Belo and Lin (2011) for the anomaly but does not state the deflator or the accounting lag."
PORT_EV_08,all_seven_families_joint,Joint system of all seventy decile portfolios,"In the tests with all 70 portfolios the explanatory ratios are 64% and 60% in the versions based on FFR and TB, respectively",supplement_zip:appendix_pdf:Section 2.2 Restricted sample,supplement_zip:appendix_pdf:p.25:Table A.8; supplement_zip:appendix_pdf:p.29:Table A.13,Lu Zhang,monthly,percent per month,value_weighted,70,stacked excess returns of the seven decile families,article_pdf:p.935 states Jan. 1972-Dec. 2013,two-pass OLS with Shanken standard errors,"The seventy-portfolio system is the union of the seven families. No separate source is given, so its availability is exactly the availability of the seven families."
PORT_EV_09,equal_weighted_seven_families,Equal-weighted deciles for the same seven anomalies,"(see Fama and French (2012), (2015)), we also use equal-weighted portfolios. The model does even better in pricing the equal-weighted portfolios.",article_pdf:p.928-p.929:Introduction,article_pdf:p.950-p.951:Table 7,Lu Zhang,monthly,percent per month,equal_weighted,10 per family,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,two-pass OLS with Shanken standard errors,"The equal-weighted variants inherit every ambiguity of the value-weighted variants and are not separately sourced in the text."
PORT_EV_10,cash_flow_to_price_and_investment_growth,Additional deciles sorted on cash-flow-to-price and investment growth,"deciles sorted on cash-flow-to-price ratio (CFP, Lakonishok, Shleifer, and Vishny (1994)) and investment growth (IG, Xing (2008)). We employ both value- and equal-weighted portfolios and these data are available from Lu Zhang.",supplement_zip:appendix_pdf:Section 2.3 Additional anomalies,supplement_zip:appendix_pdf:p.22:Table A.4,Lu Zhang,monthly,percent per month,value_weighted and equal_weighted,10 per family,excess return over the Kenneth French 1-month Treasury-bill return,article_pdf:p.935 states Jan. 1972-Dec. 2013,two-pass OLS with Shanken standard errors,"Supplementary-only families outside the seven baseline anomaly families. Same source ambiguity as PORT_EV_01."
