identifier,title,placement,hypothesis,sample,model,estimator,test_assets,uncertainty_method,artifact_source,evidence_gate,status
MT_DATA,Data sources and sample construction,main_text,R1a-R1f,baseline_and_extension_source_windows,source_audit,data_access_classification,all_registered_inputs,not_applicable,research/data_access_matrix.csv,data_design_ready,shell_ready
MT_SUMMARY,Baseline factor summary and innovation diagnostics,main_text,R1a,baseline_1972_2013,market_plus_rate,ar_innovation_summary,baseline_factor_series,hac_and_bootstrap_when_generated,artifacts/tables/baseline_factor_summary.csv,baseline_result_artifacts,blocked_missing_artifact
MT_REPLICATION,Table-level replication comparison,main_text,R1a-R1f,baseline_1972_2013,article_target_models,table_level_audit,article_registered_assets,published_rounding_tolerances,artifacts/audit/table_replication.csv,baseline_result_artifacts,blocked_missing_input
MT_WEAK,First-pass beta dispersion and factor strength,main_text,H4,baseline_1972_2013,market_plus_rate,first_pass_beta_diagnostics,article_joint_anomaly_deciles,robust_diagnostic_family,artifacts/tables/weak_factor_diagnostics.csv,weak_factor_diagnostic_artifacts,blocked_missing_artifact
MT_BASELINE,Baseline cross-sectional pricing results,main_text,H1,baseline_1972_2013,market_plus_rate,two_pass_ols_shanken_no_intercept,article_joint_anomaly_deciles,shanken_bootstrap_and_holm,artifacts/tables/baseline_pricing.csv,baseline_result_artifacts,blocked_missing_artifact
MT_ROBUST,Comparator-model and robustness results,main_text,H1;H4,baseline_1972_2013,registered_comparator_models,common_intersection_model_comparison,article_joint_anomaly_deciles,holm_within_robustness_family,artifacts/tables/robustness_comparison.csv,robustness_result_artifacts,blocked_missing_artifact
MT_POST,Post-publication frozen and refitted evaluation,main_text,H2,extension_2014_forward,market_plus_rate,frozen_and_refitted_two_pass_pricing,extension_compatible_anomaly_portfolios,temporal_hac_and_loss_uncertainty,artifacts/tables/post_publication_evaluation.csv,post_2013_result_artifacts,blocked_missing_artifact
MT_REGIME,Monetary-regime interaction and stability results,main_text,H3,baseline_plus_extension_common_sample,pooled_regime_interactions,equivalence_interval_tests,source_compatible_anomaly_portfolios,holm_adjusted_wald_and_equivalence_intervals,artifacts/tables/regime_stability.csv,regime_result_artifacts,blocked_missing_artifact
MT_SHOCK,Optional policy-information decomposition,appendix,O1,event_sample_aggregated_to_months,component_pricing_spanning_and_strength,monthly_component_spanning_pricing_and_strength_checks,shock_compatible_anomaly_portfolios,shock_decomposition_and_weak_factor_diagnostics,artifacts/tables/shock_decomposition.csv,high_frequency_event_artifacts,blocked_missing_artifact
MF_RATE,Short rate innovations and predeclared regimes,main_text,R1a;H3,baseline_plus_extension_common_sample,rate_state_process,ar_innovation_and_regime_overlay,short_rate_series,not_applicable,artifacts/figures/rate_innovations_regimes.pdf,rate_and_regime_artifacts,blocked_missing_artifact
MF_BETA,Baseline beta-return relation,main_text,H1;H4,baseline_1972_2013,market_plus_rate,cross_sectional_beta_return_plot,article_joint_anomaly_deciles,confidence_band_when_generated,artifacts/figures/beta_return_relation.pdf,baseline_result_artifacts,blocked_missing_artifact
MF_ROLLING,Rolling or expanding short-rate risk-price estimates,main_text,H2,baseline_plus_extension_common_sample,market_plus_rate,rolling_or_expanding_two_pass,source_compatible_anomaly_portfolios,temporal_confidence_bands,artifacts/figures/rolling_risk_prices.pdf,post_2013_result_artifacts,blocked_missing_artifact
MF_ERRORS,Pricing-error comparison across models and samples,main_text,H1;H2,baseline_and_extension_common_intersections,registered_model_set,pricing_error_loss_comparison,source_compatible_anomaly_portfolios,paired_loss_uncertainty,artifacts/figures/pricing_error_comparison.pdf,baseline_and_extension_artifacts,blocked_missing_artifact
MF_REGIME,Regime estimates with confidence and equivalence intervals,main_text,H3,baseline_plus_extension_common_sample,pooled_regime_interactions,equivalence_interval_plot,source_compatible_anomaly_portfolios,equivalence_intervals,artifacts/figures/regime_equivalence_intervals.pdf,regime_result_artifacts,blocked_missing_artifact
MF_SHOCK,Aggregate and decomposed shock spanning results,appendix,O1,event_sample_aggregated_to_months,component_spanning,spanning_incremental_pricing_and_strength_plot,shock_compatible_anomaly_portfolios,shock_decomposition_and_weak_factor_diagnostics,artifacts/figures/shock_spanning.pdf,high_frequency_event_artifacts,blocked_missing_artifact
