target_id,source_location,description,portfolio_set,model,estimator,tolerance_rule,status
TBL_001,article_pdf:p.936-p.937:Table 1,Factor descriptive statistics and correlations,all_factors,icapm_and_comparators,descriptive,published_rounding,article_extracted
TBL_002,article_pdf:p.937:Table 2,High-minus-low spread descriptive statistics,seven_decile_anomalies,na,descriptive,published_rounding,article_extracted
TBL_003,article_pdf:p.938:Table 3,CAPM risk premia and model-fit results,seven_decile_anomalies,market_only,two_pass_ols_shanken,coefficient_rounding,article_extracted
TBL_004,article_pdf:p.939-p.942:Table 4,Two-factor ICAPM risk premia using federal funds innovations,seven_decile_anomalies,market_plus_fed_funds,two_pass_ols_shanken,coefficient_rounding,article_extracted
TBL_005,article_pdf:p.944-p.948:Table 5,Factor risk-premium decomposition for first and last anomaly deciles,seven_decile_anomalies,market_plus_fed_funds,risk_premium_decomposition,coefficient_rounding,article_extracted
TBL_006,article_pdf:p.949:Table 6,Alternative multifactor model risk premia and fit,seven_decile_anomalies,comparator_models,two_pass_ols_shanken,coefficient_rounding,article_extracted
TBL_007,article_pdf:p.950-p.951:Table 7,Two-factor ICAPM risk premia using equal-weighted portfolios,seven_decile_anomalies_equal_weighted,market_plus_fed_funds,two_pass_ols_shanken,coefficient_rounding,article_extracted
TBL_008,article_pdf:p.954:Table 8,Long-horizon predictive regressions for excess market return and output growth,predictive_regressions,federal_funds_state_variable,newey_west_and_hodrick,published_rounding,article_extracted
TBL_009,article_pdf:p.956:Table 9,Alternative two-factor ICAPM specifications,seven_decile_anomalies,alternative_state_variable_innovations,two_pass_ols_shanken,coefficient_rounding,article_extracted
APP_TBL_A01,supplement_zip:appendix_pdf:p.20:Table A.1,T-bill-rate ICAPM risk premia,value_weighted_decile_anomalies,market_plus_tbill,two_pass_ols_shanken,coefficient_rounding,supplement_extracted
APP_TBL_A02,supplement_zip:appendix_pdf:p.21:Table A.2,Alternative short-rate factor definitions,value_weighted_decile_anomalies,first_difference_rate_factors,two_pass_ols_shanken,coefficient_rounding,supplement_extracted
APP_TBL_A03,supplement_zip:appendix_pdf:p.21:Table A.3,Restricted sample through 2006-12,value_weighted_decile_anomalies,market_plus_short_rate,two_pass_ols_shanken,coefficient_rounding,supplement_extracted
APP_TBL_A04,supplement_zip:appendix_pdf:p.22:Table A.4,Additional CFP and investment-growth anomalies,value_and_equal_weighted_deciles,market_plus_short_rate,two_pass_ols_shanken,coefficient_rounding,supplement_extracted
APP_TBL_A05,supplement_zip:appendix_pdf:p.23:Table A.5,Alternative statistical inference for risk premia,seven_decile_anomalies,market_plus_short_rate,fama_macbeth_jagannathan_wang_kan_robotti_shanken,coefficient_rounding,supplement_extracted
APP_TBL_A06,supplement_zip:appendix_pdf:p.23:Table A.6,Unrestricted zero-beta-rate ICAPM,seven_decile_anomalies,market_plus_short_rate,second_pass_ols_with_intercept,coefficient_rounding,supplement_extracted
APP_TBL_A07,supplement_zip:appendix_pdf:p.24:Table A.7,Double-sorted size-anomaly portfolio ICAPM,size_bm_size_asset_growth_size_reversal_25,market_plus_short_rate,two_pass_ols_shanken,coefficient_rounding,supplement_extracted
APP_TBL_A08,supplement_zip:appendix_pdf:p.25:Table A.8,Additional Kan-Robotti-Shanken evaluation measures,all_70_decile_portfolios,market_plus_short_rate,rho2_and_qc_statistics,published_rounding,supplement_extracted
APP_TBL_A09,supplement_zip:appendix_pdf:p.25:Table A.9,Covariance-representation GMM risk premia,seven_decile_anomalies,market_plus_short_rate,first_stage_gmm_equal_weighted,coefficient_rounding,supplement_extracted
APP_TBL_A10,supplement_zip:appendix_pdf:p.26:Table A.10,Hansen-Jagannathan distance for SDF representation,seven_decile_anomalies_and_risk_free_rate,alternative_icapm_models,hj_distance_gmm,published_rounding,supplement_extracted
APP_TBL_A11,supplement_zip:appendix_pdf:p.27:Table A.11,SDF representation parameter estimates,seven_decile_anomalies_and_risk_free_rate,alternative_icapm_models,hj_distance_gmm,coefficient_rounding,supplement_extracted
APP_TBL_A12,supplement_zip:appendix_pdf:p.28:Table A.12,Augmented ICAPM risk premia,seven_decile_anomalies,market_plus_multiple_state_variables,two_pass_ols_shanken,coefficient_rounding,supplement_extracted
APP_TBL_A13,supplement_zip:appendix_pdf:p.29:Table A.13,Additional evaluation measures for other ICAPM models,all_70_decile_portfolios,alternative_icapm_models,rho2_and_qc_statistics,published_rounding,supplement_extracted
APP_TBL_A14,supplement_zip:appendix_pdf:p.30:Table A.14,Tests of equality of cross-sectional R-squared,all_70_decile_portfolios,alternative_icapm_models,kan_robotti_shanken_r2_equality_test,published_rounding,supplement_extracted
